,date,tweet,hashtags
81,2020-05-04 23:17:59,"@PankajSinghBJP I are running Pharmacy retail chain in noida, since lockdown we are serving Noida families with our 8 stores, Now sector 48 is in containment zone 1, I am resident of sector 48, how can i go to my pharmacies, already applied for new  epass, please help",[]
82,2020-05-04 23:17:57,"@RajSarag my son Prakash Goswami trapped in Pune due to lockdown, he is single & his family in Lucknow. He is doing Job in Lucknow. If he is not reach shortly chances to loss the Job. 
I'm senior citizen & sick helpless person. Pl. Help me. 
His mb. No. 7081777828
My 8077657590",[]
83,2020-05-04 23:17:38,"Enjoying lockdown  pic.twitter.com/abuKRqu0bl – at North Campus,University Of Kashmir",[]
84,2020-05-04 23:16:49,"STRICT ACTIONS AGAINST RETURNEES WHO VIOLATE QUARANTINE NORMS

The Odisha government has decided to take stringent measures against those who have flouted Covid-19 lockdown guidelines by leaving quarantine centres.…  https://www.instagram.com/p/B_xlv4_psSx/?igshid=1g8361rgb7ufq …",[]
85,2020-05-04 23:16:08,"So, today a very complicated procedure was performed by #me with my #wify. 
#HairCutting 😂. Girls had a lot of challenges this lockdown, this one is for us guys.. #HairCutChallenge
Aao aaj…  https://www.instagram.com/p/B_xlrUmD_Q43AK5MqTPwJqQmg1D2vY3e8ovTXc0/?igshid=aqut1basodpp …","['#me', '#wify', '#haircutting', '#haircutchallenge']"
86,2020-05-04 23:15:49,"Amidst the Lockdown, you do not have to worry about your business going into drain. You can always stay ahead by using Digital platforms to your advantage.

Reach out to us directly via direct message or mail us at…  https://www.instagram.com/p/B_xlpBmFPfB/?igshid=6hr6faetaeus …",[]
87,2020-05-04 23:15:46,"@ArvindKejriwal @ManishSisodiaFC @GautamGambhir
@ArvindKejriwal @mohitganvir
Sir my Cousin is stuck  in delhi right now. Since the beginning of the lockdown.He  belongs to Nagpur.Please arrange a special transportation from delhi to maharashtra
Name -Mohit Ganvir
No-8482835588",[]
88,2020-05-04 23:15:37,"weldone arvind ji , right decision to hike 70 percent hike in liquor price to fight corona during lockdown #FightAgainstCorona",['#fightagainstcorona']
89,2020-05-04 23:15:31,"@myogiadityanath @ptshrikant Sir, my brother studying in Chandigarh stuck there since start of lockdown. He is from Mathura UP, we want to bring him back via Road ( Personal Car) . We need your help .",[]
90,2020-05-04 23:14:08,"Users are widely active during the lockdown on various social media platforms and this provides a perfect opportunity for businesses to connect with their audience and promote your products and services

Connect…  https://www.instagram.com/p/B_xlL2jlqB4/?igshid=1r36c9mdwcgqe …",[]
