,date,tweet,hashtags
74,2020-03-25 23:24:40,#StayHomeStaySafe People not taking lockdown seriously even in my society today almost 60 people gone out of society to do some work @narendramodi I think it's time to impose hard restriction on public and people not convinced unless curfew will be imposed,['#stayhomestaysafe']
75,2020-03-25 23:24:25,Lockdown hi khatam ho jaye,[]
76,2020-03-25 23:23:57,Amazon and Flipkart suspend all services in India amid mass confusion over the details of its strict 21-day coronavirus lockdown.  https://giftarticle.ft.com/giftarticle/actions/redeem/ce0b6966-a5ae-4df8-b368-6d30d790b1d5 … via @FT,[]
77,2020-03-25 23:22:26,"4th Day Jaipur Lockdown
..
..
#photojournalistshubham
..
..
.. #stayhome #staysafe @BBCHindi
@WorldPressPhoto @PTI_News @the_hindu #Coronavirus #lockdown #jaipur
#Rajasthan #pti #bbcnews #photojournalism
#covid2019india #streets_storytelling pic.twitter.com/lZdshufcvw","['#photojournalistshubham', '#stayhome', '#staysafe', '#coronavirus', '#lockdown', '#jaipur', '#rajasthan', '#pti', '#bbcnews', '#photojournalism', '#covid2019india', '#streets_storytelling']"
78,2020-03-25 23:22:13,"Tats not true. May be those guys voluntarily returned to hometown coz of lockdown.

Currently Myself n @cowinspector_ in Pune n aroun me there r many families frm karnataka n other states n most of them r stayin in rented house.
I dont see anyone pushing these people out of pune.",[]
79,2020-03-25 23:21:35,I guess most of the people don’t understand what lockdown means,[]
80,2020-03-25 23:21:19,".@BCCI President @SGanguly99 to donate Rs 50 lakh worth rice to underprivileged amid #Covid19 lockdown.

#21daylockdown #CoronaOutbreak pic.twitter.com/lg0J0gMaO0","['#covid19', '#21daylockdown', '#coronaoutbreak']"
81,2020-03-25 23:20:58,"@ZeeNewsHindi 
@sudhirchaudhary 
1rst Day playing father Vs son indoor room cricket..🏆🏆🏆
Following lockdown..
We have proud of our @narendramodi pic.twitter.com/fQgY1UAHeF",[]
82,2020-03-25 23:19:57,"How will the people of Jammu get through this torture? 

Business is Lost. 
Students are deprived of studies. 
No Online Studies. 
Videos not playing. 
No Conferencing over video. 

How will we accomplish complete lockdown ? 

Dear JK Administration Kindly #Restore4GinJK",['#restore4ginjk']
83,2020-03-25 23:19:49,Stay safe Mike. We are already under a 21 days lockdown starting yesterday.,[]
84,2020-03-25 23:19:37,"That's the best you can offer but if they do not let you do so, it will disgusting to note after PM @narendramodi himself motivated all of us to take care of poor & needy in Lockdown period....hope it materializes Shikhat for you...🙏",[]
85,2020-03-25 23:19:15,@JayantiRavi sir if People get their essentials needs then everyone will stay in home only...home in 2/3 Day 100% lockdown in Gujarat by supplying Grocery and milk at Door step.Bussinessmans are Ready to Serve,[]
86,2020-03-25 23:19:12,First time we doesn't want leave from office first time we doesn't want to stay at home but there is no option we have to lockdown ourself. We have to show our mental toughness to pass this crucial phase #StayHomeStaySafe #21daylockdown #FightAgainstCoronavirus,"['#stayhomestaysafe', '#21daylockdown', '#fightagainstcoronavirus']"
87,2020-03-25 23:17:24,Draconian lockdown saved China; those who didn't learn may suffer.,[]
88,2020-03-25 23:17:05,"@narendramodi @SwetaSinghAT @AmitShah @drharshvardhan @nitin_gadkari @anjanaomkashyap @akshaykumar 
Please lockdown @bokarosteelplant.....it's a request..for the people going on duty on their risk......",[]
89,2020-03-25 23:16:58,"Government didn't act on time, even though our leader @RahulGandhi ji told them long about this issue and now we are facing police brutality. 
#IndiaMaangeNyay
#EndPoliceBrutality
#Lockdown21 #lockdown  https://www.dailymail.co.uk/news/article-8150253/amp/Police-India-beat-people-submission-coronavirus-lockdown-bites.html?__twitter_impression=true …","['#indiamaangenyay', '#endpolicebrutality', '#lockdown21', '#lockdown']"
90,2020-03-25 23:16:48,"Pan masala ban will remain for 21 days of lockdown. These orders are being issued by the FDA which will be made available in the public domain: ACS, Home and Information, Sh. @AwasthiAwanishK Yes",[]
91,2020-03-25 23:16:41,"How's 1st Day of Lockdown....??

#Lockdown21 #StayAtHomeSaveLives #StaySafe #StayHomeStaySafe","['#lockdown21', '#stayathomesavelives', '#staysafe', '#stayhomestaysafe']"
92,2020-03-25 23:16:38,What was the purpose of lockdown...the govt should find a way out for these stranded people 😕,[]
93,2020-03-25 23:16:25,"TWO GROOMS ARRESTED IN ODISHA FOR DISOBEYING LOCKDOWN GUIDELINES 

Two men have been arrested by the police in Odisha for violating lockdown rules implement in the state to curb the spread of the novel coronavirus. A…  https://www.instagram.com/p/B-Kl6PnJnrQ/?igshid=dx435qq4tmyg …",[]
94,2020-03-25 23:16:17,"Supporting Government's move for 21 days lockdown.
#COVID2019 #CoronavirusLockdown #coronavirusindia #FightCOVID19 #FightAgainstCoronavirus #Coronafighters #CoronavirusPandemic #covidindia pic.twitter.com/mxvvAFiimZ","['#covid2019', '#coronaviruslockdown', '#coronavirusindia', '#fightcovid19', '#fightagainstcoronavirus', '#coronafighters', '#coronaviruspandemic', '#covidindia']"
95,2020-03-25 23:16:08,"The lockdown that's now imposed throughout the country was already in place in New Delhi for a few days and the situation is quite normal here. People are generally able to find what the require, including fresh fruits and vegetables.",[]
96,2020-03-25 23:15:45,Thank you sir if any person willingly  break the complete lockdown  plz taken storng action against them  https://twitter.com/BannaGupta76/status/1242830316353384448 …,[]
97,2020-03-25 23:15:00,"Hi , 
My friend stuck in gujrat (junagad) because of lockdown conditions he's unable to reach his home in karmala , maharashtra . Please help him to get out of it @CMOMaharashtra @PawarSpeaks @supriya_sule @satyajeettambe @AUThackeray @Jayant_R_Patil @ShivSena @NCPspeaks https://twitter.com/vivekmaske5/status/1242867760452923393 …",[]
98,2020-03-25 23:14:27,That was the first lockdown which went on for 7 days....  pic.twitter.com/TlLBclJ2ko – at Vrindavan Bus Stand,[]
99,2020-03-25 23:14:08,"I was screaming for a very long time to lockdown Kerala - when first 3 cases were found. Don't know what the centre was doing so long.

Now kerala has completed  a 100, also Khangressi new born Maharashtra has hit the same.",[]
100,2020-03-25 23:14:06,"Does eye hospital (Day Care) come under essential services during this lockdown?
@drharshvardhan sir
@aajtak
@ZeeNews",[]
101,2020-03-25 23:13:58,"#IndiaFightsCorona #Lockdown21 
Thank you 🙏 to all Medical staff, Police & Everyone who followed the lockdown. Today all essential services were open as told by govt. Let’s appreciate those who have their family at home and serving nation 🙏@PMOIndia","['#indiafightscorona', '#lockdown21']"
102,2020-03-25 23:13:40,"To ensure #lockdown, #Mayurbhanj police booked 42 person under 30 cases and seized 35 vehicles for violation across dist. 
Humble request to follow the guidelines of lockdown & stay indoor for safety of self & loved ones. #OdishaFightsCorona @DGPOdisha @CMO_Odisha @odisha_police pic.twitter.com/LvKLDrIGeN","['#lockdown', '#mayurbhanj', '#odishafightscorona']"
103,2020-03-25 23:13:35,"India,s 21 Days Lockdown Police fire to People just now and saved all people's #StayHomeStaySafe
#21daylockdown #lockdownindia #IndiaFightsCorona #Coronaindia #CoronavirusLockdown #CoronaStopKaroNa #Coronaeuro pic.twitter.com/DaU1zwCHLN","['#stayhomestaysafe', '#21daylockdown', '#lockdownindia', '#indiafightscorona', '#coronaindia', '#coronaviruslockdown', '#coronastopkarona', '#coronaeuro']"
104,2020-03-25 23:12:45,"Social media is filled with post of police brutality during this #COVID #Lockdown21 , shouldn’t the police be better trained to empathise with citizens. This is a sudden lockdown and people need basis stuff for survival , they can’t j beat everyone they see on the road.","['#covid', '#lockdown21']"
105,2020-03-25 23:12:44,"#IndiaFightsCorona
The troubles of today due to the lockdown will last only 21 days. However, if the spread of Covid-19 is not contained by staying home, it will cause unfathomable damage to the country.
via NaMo App",['#indiafightscorona']
106,2020-03-25 23:12:43,"He is not a police man he is a furstated man from lockdown and just putting his frustration on poor people,  please serach this man and put it behind the bars, these type of people are like a scar on our society.
Shame On him  https://twitter.com/TajinderBagga/status/1242848843630137344 …",[]
107,2020-03-25 23:12:39,"#IndiaFightsCorona
PM Modi asserted that animals around us also need to be taken care of. Due to the lockdown, several animals are also facing a shortage of food and they are to be fed.
via NaMo App",['#indiafightscorona']
108,2020-03-25 23:11:52,"Now a days 
Maintain  ""social distancing(ସାମାଜିକ ଦୂରତ୍ବ),quarantine(ସଙ୍ଗରୋଧ), isolation(ଏକାନ୍ତ ବାସ),for eradicate Coronavairus.

#*India-Fights-Corona*
# *Respect Lockdown*
# *Stay Safe Stay Healthy*
# *करोना हारेगा…  https://www.instagram.com/p/B-KlY4XJWwQ/?igshid=6n8rvwrrz3u1 …",[]
109,2020-03-25 23:10:50,Kab proper way mai lockdown Hoga,[]
110,2020-03-25 23:10:43,They're doing as much as they can so that essential supplies reach people. A failure would mean mass panic which is something you definitely don't want during a lockdown.,[]
111,2020-03-25 23:10:01,"#SelfQuarantine #Day8
#CoronavirusIndia

The PM announced the 21days lockdown with “Mitronnnn”..! 
Going by trends, in the next 3 weeks, with no workout, massive food intake, and sleep eat repeat routines, im sure he will announce the release of lockdown by saying.. “HAATHIYOON”","['#selfquarantine', '#day8', '#coronavirusindia']"
112,2020-03-25 23:09:47,#lockdown -sometime in future will reflect back and ponder about these days #ludo #caramboard -#stayhome #staysafe #indiafightscorona @ Golpark Mouchak  https://www.instagram.com/p/B-KlJNdKFr6YQtUETQatFNxKS7yGWqrGwjQrp40/?igshid=1402kc9icsg3i …,"['#lockdown', '#ludo', '#caramboard', '#stayhome', '#staysafe', '#indiafightscorona']"
113,2020-03-25 23:09:39,Lockdown Day ONE in India STAY HOME AND STAY SAFE  #Chinesevirus Wishing everyone the best of health 😇😇 . 🇮🇳🇮🇳. Contact +919717818382  IF YOU WANT TO BOOK A PHOTOSHOOT OR BUY WORK OF AUGUSTUS #contactmetoday…  https://www.instagram.com/p/B-KlInwJTNg/?igshid=15gexnauq3bpa …,"['#chinesevirus', '#contactmetoday']"
114,2020-03-25 23:09:17,"Lockdown is critical #FightAgainstCoronavirus #Lockdown21 #coronavirusindia 
Its bad globally pic.twitter.com/Mj26GhXqmS","['#fightagainstcoronavirus', '#lockdown21', '#coronavirusindia']"
115,2020-03-25 23:09:01,"Sir meri maa bohat bade problem me fas gayi hai, she works in hospital in solapur but before some days she came to mumbai.abhi unko mumbai aakar 8 din ho gaye hai & unko last 4 days se hospitals se call aa rahe hai duty k liye & wo solapur nahi jaa paa rahi hai coz of lockdown.",[]
116,2020-03-25 23:08:25,"Look at the courage💪😅😅 of brother.

#Bhindian #21daylockdown #21daysLockdown #CoronavirusLockdown #coronavirusindia #StayHome #lockdown @Chandrakant_cb #cb pic.twitter.com/HyhYdFZwn2","['#bhindian', '#21daylockdown', '#21dayslockdown', '#coronaviruslockdown', '#coronavirusindia', '#stayhome', '#lockdown', '#cb']"
117,2020-03-25 23:07:28,Any update on how the labours and traders from different parts of the city would reach APMC Vashi and the risk involved in reaching there in current Lockdown situation?,[]
118,2020-03-25 23:07:18,"@AdminLKO Dear DM sir, The kirana shops at Rajajipuram are selling items at ten times the MRP. Please resolve ASAP as we as a citizen are suffering bcos of lockdown and this corruption. @CMOfficeUP #YogiCares Please restore bigbasket and Grofers",['#yogicares']
119,2020-03-25 23:06:41,"The Pose of Valour!

Black Kite!

COVID-19, National Lockdown: Day-1

bbcearth #asia_photography2018 #bbcwildlifepotd #EarthCapture #EarthinFocus #clawsnwings #claws_n_wings #ThroughYourLens #lenscaptureofficial…  https://www.instagram.com/p/B-KkzE3g-aW/?igshid=9pvvxdzdl20t …","['#asia_photography2018', '#bbcwildlifepotd', '#earthcapture', '#earthinfocus', '#clawsnwings', '#claws_n_wings', '#throughyourlens', '#lenscaptureofficial']"
